#,Type,Object Type,Size class (cm),Number of particles ,State,Observations
1,H,Bag,10 - 50,1,Fragmented,
2,H,Bag,10 - 50,1,Fragmented,
3,H,Bag,10 - 50,2,Fragmented,
4,H,Bag,10 - 50,1,Fragmented,
5,H,Bag,10 - 50,1,Fragmented,
6,H,Bag,10 - 50,1,Fragmented,
7,H,Bag,10 - 50,1,Fragmented,
8,H,Bag,10 - 50,2,Fragmented,
9,H,Bag,10 - 50,1,Fragmented,
10,H,Bag,10 - 50,1,Fragmented,
11,H,Bag,10 - 50,1,Fragmented,
12,H,Bag,10 - 50,1,Fragmented,
13,H,Bag,5 - 10,1,Fragmented,
14,H,Bag,5 - 10,1,Fragmented,
15,H,Bag,1.5 - 5,1,Fragmented,
16,H,Bag,1.5 - 5,1,Fragmented,
17,H,Bag,1.5 - 5,1,Fragmented,
18,H,Bag,0.5 - 1.5,3,Fragmented,
19,H,Bag,0.5 - 1.5,2,Fragmented,
20,H,Bag,0.5 - 1.5,1,Fragmented,
21,H,Bag,0.5 - 1.5,1,Fragmented,
22,H,Bag,0.5 - 1.5,1,Fragmented,
23,H,Ball,5 - 10,1,Entire,
24,H,Ball,5 - 10,1,Fragmented,
25,H,Ball,0.5 - 1.5,1,Entire,
26,H,Ball,0.5 - 1.5,1,Entire,
27,H,Ball,0.5 - 1.5,3,Entire,
28,H,Ball,0.5 - 1.5,1,Entire,
29,H,Ball,0.5 - 1.5,1,Entire,
30,H,Ball,0.5 - 1.5,1,Entire,
31,H,Ball,0.5 - 1.5,1,Entire,
32,H,Ball,0.5 - 1.5,1,Entire,
33,H,Ball,0.5 - 1.5,1,Entire,
34,H,Ball,0.5 - 1.5,1,Entire,
35,H,Ball,0.5 - 1.5,1,Fragmented,
36,H,Ball,0.5 - 1.5,1,Fragmented,
37,H,Ball,0.5 - 1.5,1,Fragmented,gun ball?
38,H,Bike pedal,5 - 10,1,Entire,
39,H,Bike pedal,5 - 10,1,Fragmented,
40,H,Bottle,10 - 50,1,Entire,
41,H,Bottle,10 - 50,1,Entire,
42,H,Bottle,10 - 50,1,Entire,
43,H,Bottle,10 - 50,1,Entire,
44,H,Bottle,10 - 50,2,Entire,
45,H,Bottle,10 - 50,1,Entire,
46,H,Bottle,10 - 50,3,Entire,
47,H,Bottle,10 - 50,2,Entire,
48,H,Bottle,10 - 50,1,Entire,
49,H,Bottle,10 - 50,1,Entire,
50,H,Bottle,10 - 50,2,Entire,
51,H,Bottle,10 - 50,1,Entire,
52,H,Bottle,10 - 50,1,Entire,
53,H,Bottle,10 - 50,2,Entire,
54,H,Bottle,10 - 50,1,Entire,
55,H,Bottle,10 - 50,1,Entire,
56,H,Bottle,10 - 50,1,Entire,
57,H,Bottle,10 - 50,1,Entire,
58,H,Bottle,10 - 50,1,Fragmented,
59,H,Bottle,10 - 50,1,Fragmented,
60,H,Bottle,10 - 50,1,Fragmented,
61,H,Bottle,10 - 50,5,Fragmented,
62,H,Bottle,10 - 50,4,Fragmented,
63,H,Bottle,10 - 50,2,Fragmented,
64,H,Bottle,10 - 50,8,Fragmented,
65,H,Bottle,10 - 50,2,Fragmented,
66,H,Bottle,10 - 50,2,Fragmented,
67,H,Bottle,10 - 50,1,Fragmented,
68,H,Bottle,10 - 50,3,Fragmented,
69,H,Bottle,10 - 50,1,Fragmented,
70,H,Bottle,10 - 50,3,Fragmented,
71,H,Bottle,10 - 50,5,Fragmented,
72,H,Bottle,10 - 50,4,Fragmented,
73,H,Bottle,10 - 50,1,Fragmented,
74,H,Bottle,10 - 50,1,Fragmented,
75,H,Bottle,10 - 50,1,Fragmented,
76,H,Bottle,10 - 50,3,Fragmented,
77,H,Bottle,10 - 50,3,Fragmented,
78,H,Bottle,10 - 50,1,Fragmented,
79,H,Bottle,10 - 50,1,Fragmented,
80,H,Bottle,10 - 50,1,Fragmented,
81,H,Bottle,10 - 50,5,Fragmented,
82,H,Bottle,10 - 50,2,Fragmented,
83,H,Bottle,10 - 50,4,Fragmented,
84,H,Bottle,10 - 50,3,Fragmented,
85,H,Bottle,10 - 50,1,Fragmented,
86,H,Bottle,10 - 50,3,Fragmented,
87,H,Bottle,10 - 50,2,Fragmented,
88,H,Bottle,10 - 50,2,Fragmented,
89,H,Bottle,10 - 50,1,Fragmented,
90,H,Bottle,10 - 50,2,Fragmented,
91,H,Bottle,10 - 50,2,Fragmented,
92,H,Bottle,10 - 50,1,Fragmented,
93,H,Bottle,5 - 10,1,Entire,
94,H,Bottle,5 - 10,1,Entire,
95,H,Bottle,5 - 10,1,Fragmented,
96,H,Bottle,5 - 10,6,Fragmented,
97,H,Bottle,5 - 10,1,Fragmented,
98,H,Bottle,5 - 10,2,Fragmented,
99,H,Bottle,5 - 10,6,Fragmented,
100,H,Bottle,5 - 10,2,Fragmented,
101,H,Bottle,5 - 10,1,Fragmented,
102,H,Bottle,5 - 10,3,Fragmented,
103,H,Bottle,5 - 10,4,Fragmented,
104,H,Bottle,5 - 10,2,Fragmented,
105,H,Bottle,5 - 10,1,Fragmented,
106,H,Bottle,5 - 10,2,Fragmented,
107,H,Bottle,5 - 10,3,Fragmented,
108,H,Bottle,5 - 10,3,Fragmented,
109,H,Bottle,5 - 10,2,Fragmented,
110,H,Bottle,5 - 10,1,Fragmented,
111,H,Bottle,5 - 10,1,Fragmented,
112,H,Bottle,5 - 10,2,Fragmented,
113,H,Bottle,5 - 10,4,Fragmented,
114,H,Bottle,5 - 10,3,Fragmented,
115,H,Bottle,5 - 10,3,Fragmented,
116,H,Bottle,5 - 10,2,Fragmented,
117,H,Bottle,5 - 10,2,Fragmented,
118,H,Bottle,5 - 10,3,Fragmented,
119,H,Bottle,5 - 10,2,Fragmented,
120,H,Bottle,5 - 10,1,Fragmented,
121,H,Bottle,5 - 10,2,Fragmented,
122,H,Bottle,5 - 10,2,Fragmented,
123,H,Bottle,5 - 10,1,Fragmented,
124,H,Bottle,5 - 10,3,Fragmented,
125,H,Bottle,5 - 10,2,Fragmented,
126,H,Bottle,5 - 10,1,Fragmented,
127,H,Bottle,5 - 10,1,Fragmented,
128,H,Bottle,5 - 10,1,Fragmented,
129,H,Bottle,5 - 10,1,Fragmented,
130,H,Bottle,5 - 10,3,Fragmented,
131,H,Bottle,1.5 - 5,1,Fragmented,
132,H,Bottle,1.5 - 5,1,Fragmented,
133,H,Bottle,1.5 - 5,1,Fragmented,
134,H,Bottle,1.5 - 5,1,Fragmented,
135,H,Bottle,1.5 - 5,1,Fragmented,
136,H,Bottle,1.5 - 5,1,Fragmented,
137,H,Bottle,1.5 - 5,1,Fragmented,
138,H,Bottle,1.5 - 5,1,Fragmented,
139,H,Bottle,1.5 - 5,1,Fragmented,
140,H,Bottle,1.5 - 5,1,Fragmented,
141,H,Bottle,1.5 - 5,1,Fragmented,
142,H,Bottle,0.5 - 1.5,1,Fragmented,
143,H,Bottle,0.5 - 1.5,1,Fragmented,
144,H,Bottle,0.5 - 1.5,1,Fragmented,
145,H,Bottle,0.5 - 1.5,1,Fragmented,
146,H,Bottle,0.5 - 1.5,1,Fragmented,
147,H,Bottle,0.5 - 1.5,1,Fragmented,
148,H,Bottle,0.5 - 1.5,1,Fragmented,
149,H,Bottle,0.5 - 1.5,1,Fragmented,
150,H,Bottle,0.5 - 1.5,3,Fragmented,
151,H,Bottle,0.5 - 1.5,1,Fragmented,
152,H,Bottle,0.5 - 1.5,1,Fragmented,
153,H,Bottle,0.5 - 1.5,1,Fragmented,
154,H,Bottle lid,5 - 10,1,Fragmented,Bottle lid ring
155,H,Bottle lid,5 - 10,1,Entire,
156,H,Bottle lid,5 - 10,2,Fragmented,
157,H,Bottle lid,5 - 10,1,Fragmented,
158,H,Bottle lid,5 - 10,1,Fragmented,
159,H,Bottle lid,1.5 - 5,1,Entire,
160,H,Bottle lid,1.5 - 5,1,Entire,
161,H,Bottle lid,1.5 - 5,2,Entire,
162,H,Bottle lid,1.5 - 5,1,Entire,
163,H,Bottle lid,1.5 - 5,2,Entire,
164,H,Bottle lid,1.5 - 5,1,Entire,
165,H,Bottle lid,1.5 - 5,1,Entire,
166,H,Bottle lid,1.5 - 5,2,Entire,
167,H,Bottle lid,1.5 - 5,4,Entire,
168,H,Bottle lid,1.5 - 5,1,Entire,
169,H,Bottle lid,1.5 - 5,2,Entire,
170,H,Bottle lid,1.5 - 5,1,Entire,
171,H,Bottle lid,1.5 - 5,1,Entire,
172,H,Bottle lid,1.5 - 5,1,Fragmented,
173,H,Bottle lid,1.5 - 5,2,Fragmented,
174,H,Bottle lid,1.5 - 5,1,Fragmented,
175,H,Bottle lid,1.5 - 5,7,Fragmented,
176,H,Bottle lid,1.5 - 5,1,Fragmented,
177,H,Bottle lid,1.5 - 5,1,Fragmented,
178,H,Bottle lid,1.5 - 5,1,Fragmented,
179,H,Bottle lid,1.5 - 5,1,Fragmented,
180,H,Bottle lid,1.5 - 5,5,Fragmented,
181,H,Bottle lid,1.5 - 5,1,Fragmented,
182,H,Bottle lid,1.5 - 5,3,Fragmented,
183,H,Bottle lid,1.5 - 5,1,Fragmented,
184,H,Bottle lid,1.5 - 5,1,Fragmented,
185,H,Bottle lid,1.5 - 5,1,Fragmented,
186,H,Bottle lid,1.5 - 5,3,Fragmented,
187,H,Bottle lid,1.5 - 5,2,Fragmented,
188,H,Bottle lid,1.5 - 5,1,Fragmented,
189,H,Bottle lid,1.5 - 5,1,Fragmented,
190,H,Bottle lid,0.5 - 1.5,1,Fragmented,
191,H,Bottle lid,0.5 - 1.5,2,Entire,
192,H,Bottle lid,0.5 - 1.5,1,Entire,
193,H,Bottle lid,0.5 - 1.5,1,Fragmented,
194,H,Bottle lid,0.5 - 1.5,3,Fragmented,
195,H,Bottle lid,0.5 - 1.5,2,Fragmented,
196,H,Bottle lid,0.5 - 1.5,2,Fragmented,
197,H,Bottle lid,0.5 - 1.5,2,Fragmented,
198,H,Bottle lid,0.5 - 1.5,2,Fragmented,
199,H,Bottle lid,0.5 - 1.5,1,Fragmented,
200,H,Bottle lid,0.5 - 1.5,2,Fragmented,
201,H,Bottle lid,0.5 - 1.5,2,Fragmented,
202,H,Bottle lid,0.5 - 1.5,1,Fragmented,
203,H,Bottle lid,0.5 - 1.5,2,Fragmented,
204,H,Bottle lid,0.5 - 1.5,2,Fragmented,
205,H,Bottle lid,0.5 - 1.5,3,Fragmented,
206,H,Bottle lid,0.5 - 1.5,1,Fragmented,
207,H,Bottle lid,0.5 - 1.5,1,Fragmented,
208,H,Bottle lid,0.5 - 1.5,2,Fragmented,
209,H,Bottle lid,0.5 - 1.5,2,Fragmented,
210,H,Bottle lid,0.5 - 1.5,1,Fragmented,
211,H,Bottle lid,0.5 - 1.5,1,Fragmented,
212,H,Bottle lid,0.5 - 1.5,1,Fragmented,
213,H,Bottle lid,0.5 - 1.5,3,Fragmented,
214,H,Bottle lid,0.5 - 1.5,1,Fragmented,
215,H,Bottle lid,0.5 - 1.5,2,Fragmented,
216,H,Bottle lid,0.5 - 1.5,3,Fragmented,
217,H,Bottle lid,0.5 - 1.5,1,Fragmented,
218,H,Bottle lid,0.5 - 1.5,3,Fragmented,
219,H,Bottle lid,0.5 - 1.5,4,Fragmented,
220,H,Bottle lid,0.5 - 1.5,5,Fragmented,
221,H,Brush,10 - 50,1,Entire,Brush
222,H,Brush,10 - 50,1,Fragmented,brush
223,H,Brush,5 - 10,1,Fragmented,Brush
224,H,Buoy,> 50,1,Fragmented,
225,H,Buoy,> 50,1,Entire,
226,H,Buoy,10 - 50,1,Entire,
227,H,Buoy,10 - 50,2,Entire,
228,H,Buoy,10 - 50,1,Entire,
229,H,Buoy,10 - 50,1,Entire,
230,H,Buoy,10 - 50,2,Entire,
231,H,Buoy,10 - 50,1,Entire,
232,H,Buoy,10 - 50,1,Entire,
233,H,Buoy,10 - 50,2,Entire,
234,H,Buoy,10 - 50,1,Entire,
235,H,Buoy,10 - 50,2,Fragmented,
236,H,Buoy,10 - 50,1,Fragmented,
237,H,Buoy,10 - 50,1,Fragmented,
238,H,Buoy,10 - 50,1,Fragmented,
239,H,Buoy,10 - 50,2,Fragmented,
240,H,Buoy,10 - 50,1,Fragmented,
241,H,Buoy,10 - 50,1,Fragmented,
242,H,Buoy,10 - 50,1,Fragmented,
243,H,Buoy,10 - 50,1,Fragmented,
244,H,Buoy,10 - 50,1,Fragmented,
245,H,Buoy,10 - 50,2,Fragmented,
246,H,Buoy,10 - 50,1,Fragmented,
247,H,Buoy,10 - 50,1,Fragmented,
248,H,Buoy,10 - 50,2,Fragmented,
249,H,Buoy,10 - 50,2,Fragmented,
250,H,Buoy,10 - 50,1,Fragmented,
251,H,Buoy,10 - 50,1,Fragmented,
252,H,Buoy,10 - 50,1,Fragmented,
253,H,Buoy,10 - 50,3,Fragmented,
254,H,Buoy,10 - 50,1,Fragmented,
255,H,Buoy,10 - 50,1,Fragmented,
256,H,Buoy,10 - 50,1,Fragmented,
257,H,Buoy,10 - 50,1,Fragmented,
258,H,Buoy,5 - 10,1,Entire,
259,H,Buoy,5 - 10,2,Entire,
260,H,Buoy,5 - 10,1,Entire,
261,H,Buoy,5 - 10,1,Entire,
262,H,Buoy,5 - 10,1,Entire,
263,H,Buoy,5 - 10,1,Fragmented,
264,H,Buoy,5 - 10,1,Fragmented,
265,H,Buoy,5 - 10,1,Fragmented,
266,H,Buoy,5 - 10,2,Fragmented,
267,H,Buoy,5 - 10,1,Fragmented,
268,H,Buoy,5 - 10,1,Fragmented,
269,H,Buoy,5 - 10,1,Fragmented,
270,H,Buoy,1.5 - 5,1,Entire,
271,H,Buoy,1.5 - 5,1,Entire,
272,H,Buoy,1.5 - 5,1,Entire,
273,H,Car mat,10 - 50,1,Entire,Car mat
274,H,Cloth hanger,10 - 50,1,Entire,
275,H,Cloth hanger,10 - 50,1,Entire,
276,H,Cloth hanger,10 - 50,1,Fragmented,
277,H,Cloth hanger,10 - 50,1,Fragmented,
278,H,Cloth hanger,10 - 50,1,Fragmented,
279,H,Cloth hanger,5 - 10,1,Fragmented,
280,H,Cloth hanger,1.5 - 5,1,Entire,
281,H,Comb,10 - 50,1,Fragmented,
282,H,Comb,10 - 50,1,Fragmented,
283,H,Comb,10 - 50,1,Fragmented,
284,H,Comb,10 - 50,2,Fragmented,
285,H,Comb,5 - 10,1,Fragmented,
286,H,Container,> 50,1,Entire,Crate
287,H,Container,> 50,1,Fragmented,Crate
288,H,Container,> 50,1,Entire,Crate
289,H,Container,> 50,1,Fragmented,Crate
290,H,Container,> 50,1,Entire,Crate
291,H,Container,> 50,1,Fragmented,Crate
292,H,Container,> 50,1,Entire,Crate
293,H,Container,> 50,1,Entire,Crate
294,H,Container,> 50,1,Fragmented,Crate
295,H,Container,> 50,1,Entire,Crate
296,H,Container,10 - 50,1,Entire,Crate
297,H,Container,10 - 50,1,Entire,Crate
298,H,Container,10 - 50,1,Entire,Crate
299,H,Container,10 - 50,1,Fragmented,Crate
300,H,Container,10 - 50,1,Fragmented,Crate
301,H,Container,10 - 50,1,Fragmented,Crate
302,H,Container,10 - 50,4,Fragmented,Crate
303,H,Container,10 - 50,2,Fragmented,Crate
304,H,Container,10 - 50,3,Fragmented,Crate
305,H,Container,10 - 50,2,Fragmented,Crate
306,H,Container,10 - 50,1,Fragmented,Crate
307,H,Container,10 - 50,4,Fragmented,Crate
308,H,Container,10 - 50,1,Fragmented,Crate
309,H,Container,10 - 50,6,Fragmented,Crate
310,H,Container,10 - 50,1,Fragmented,Crate
311,H,Container,10 - 50,1,Fragmented,Crate
312,H,Container,10 - 50,1,Fragmented,Crate
313,H,Container,10 - 50,4,Fragmented,Crate
314,H,Container,10 - 50,2,Fragmented,Crate
315,H,Container,10 - 50,11,Fragmented,Crate
316,H,Container,10 - 50,1,Fragmented,Crate
317,H,Container,10 - 50,1,Fragmented,Crate
318,H,Container,10 - 50,2,Fragmented,Crate
319,H,Container,10 - 50,1,Fragmented,Crate
320,H,Container,10 - 50,2,Fragmented,Crate
321,H,Container,10 - 50,4,Fragmented,Crate
322,H,Container,10 - 50,2,Fragmented,Crate
323,H,Container,10 - 50,5,Fragmented,Crate
324,H,Container,10 - 50,3,Fragmented,Crate
325,H,Container,10 - 50,10,Fragmented,Crate
326,H,Container,10 - 50,3,Fragmented,Crate
327,H,Container,10 - 50,2,Fragmented,Crate
328,H,Container,10 - 50,6,Fragmented,Crate
329,H,Container,10 - 50,2,Fragmented,Crate
330,H,Container,10 - 50,2,Fragmented,Crate
331,H,Container,10 - 50,2,Fragmented,Crate
332,H,Container,10 - 50,1,Fragmented,Crate
333,H,Container,10 - 50,2,Fragmented,Crate
334,H,Container,10 - 50,1,Fragmented,Crate
335,H,Container,10 - 50,1,Fragmented,Crate
336,H,Container,10 - 50,1,Fragmented,Crate
337,H,Container,10 - 50,4,Fragmented,Crate
338,H,Container,10 - 50,1,Fragmented,Crate
339,H,Container,10 - 50,2,Fragmented,Crate
340,H,Container,10 - 50,5,Fragmented,Crate
341,H,Container,10 - 50,1,Entire,
342,H,Container,10 - 50,1,Entire,
343,H,Container,10 - 50,1,Entire,
344,H,Container,10 - 50,1,Entire,
345,H,Container,10 - 50,1,Entire,
346,H,Container,10 - 50,1,Entire,
347,H,Container,10 - 50,1,Fragmented,
348,H,Container,10 - 50,1,Fragmented,
349,H,Container,10 - 50,3,Fragmented,
350,H,Container,10 - 50,1,Fragmented,
351,H,Container,10 - 50,2,Fragmented,
352,H,Container,10 - 50,1,Fragmented,
353,H,Container,10 - 50,3,Fragmented,
354,H,Container,10 - 50,1,Fragmented,
355,H,Container,10 - 50,1,Fragmented,
356,H,Container,10 - 50,1,Fragmented,
357,H,Container,10 - 50,2,Fragmented,
358,H,Container,10 - 50,4,Fragmented,
359,H,Container,10 - 50,5,Fragmented,
360,H,Container,10 - 50,4,Fragmented,
361,H,Container,10 - 50,1,Fragmented,
362,H,Container,10 - 50,1,Fragmented,
363,H,Container,10 - 50,1,Fragmented,
364,H,Container,10 - 50,1,Fragmented,
365,H,Container,10 - 50,2,Fragmented,
366,H,Container,10 - 50,2,Fragmented,
367,H,Container,10 - 50,3,Fragmented,
368,H,Container,10 - 50,1,Fragmented,
369,H,Container,10 - 50,1,Fragmented,
370,H,Container,10 - 50,4,Fragmented,
371,H,Container,10 - 50,3,Fragmented,
372,H,Container,10 - 50,1,Fragmented,
373,H,Container,10 - 50,3,Fragmented,
374,H,Container,10 - 50,1,Fragmented,
375,H,Container,10 - 50,1,Fragmented,
376,H,Container,10 - 50,1,Fragmented,
377,H,Container,10 - 50,2,Fragmented,
378,H,Container,10 - 50,3,Fragmented,
379,H,Container,10 - 50,1,Fragmented,
380,H,Container,10 - 50,1,Fragmented,
381,H,Container,10 - 50,1,Fragmented,
382,H,Container,5 - 10,1,Fragmented,Crate
383,H,Container,5 - 10,1,Fragmented,Crate
384,H,Container,5 - 10,2,Fragmented,Crate
385,H,Container,5 - 10,2,Fragmented,Crate
386,H,Container,5 - 10,1,Fragmented,Crate
387,H,Container,5 - 10,1,Fragmented,Crate
388,H,Container,5 - 10,2,Fragmented,Crate
389,H,Container,5 - 10,1,Fragmented,Crate
390,H,Container,5 - 10,2,Fragmented,Crate
391,H,Container,5 - 10,1,Fragmented,Crate
392,H,Container,5 - 10,1,Fragmented,Crate
393,H,Container,5 - 10,2,Fragmented,Crate
394,H,Container,5 - 10,1,Fragmented,Crate
395,H,Container,5 - 10,1,Fragmented,Crate
396,H,Container,5 - 10,2,Fragmented,Crate
397,H,Container,5 - 10,1,Fragmented,Crate
398,H,Container,5 - 10,1,Fragmented,Crate
399,H,Container,5 - 10,2,Fragmented,Crate
400,H,Container,5 - 10,2,Fragmented,Crate
401,H,Container,5 - 10,3,Fragmented,Crate
402,H,Container,5 - 10,3,Fragmented,Crate
403,H,Container,5 - 10,1,Entire,
404,H,Container,5 - 10,1,Fragmented,
405,H,Container,5 - 10,3,Fragmented,
406,H,Container,5 - 10,2,Fragmented,
407,H,Container,5 - 10,1,Fragmented,
408,H,Container,5 - 10,3,Fragmented,
409,H,Container,5 - 10,1,Fragmented,
410,H,Container,5 - 10,2,Fragmented,
411,H,Container,5 - 10,1,Fragmented,
412,H,Container,5 - 10,1,Fragmented,
413,H,Container,5 - 10,1,Fragmented,
414,H,Container,5 - 10,1,Fragmented,
415,H,Container,5 - 10,1,Fragmented,
416,H,Container,1.5 - 5,1,Entire,Medicine pot
417,H,Container,1.5 - 5,1,Fragmented,Crate
418,H,Container,1.5 - 5,1,Fragmented,Crate
419,H,Container,1.5 - 5,3,Fragmented,Crate
420,H,Container,1.5 - 5,1,Fragmented,Crate
421,H,Container,1.5 - 5,1,Fragmented,Crate
422,H,Container,1.5 - 5,1,Fragmented,Crate
423,H,Container,1.5 - 5,1,Fragmented,Crate
424,H,Container,1.5 - 5,1,Fragmented,
425,H,Container,0.5 - 1.5,1,Fragmented,Crate
426,H,Container,0.5 - 1.5,3,Fragmented,Crate
427,H,Container,0.5 - 1.5,1,Fragmented,
428,H,Container Lid,> 50,1,Fragmented,Big sieve (water filter)?
429,H,Container lid,10 - 50,1,Entire,Lid of a jug
430,H,Container lid,10 - 50,1,Entire,
431,H,Container lid,10 - 50,1,Entire,Big lid
432,H,Container lid,10 - 50,1,Entire,
433,H,Container lid,10 - 50,1,Entire,
434,H,Container lid,10 - 50,1,Entire,Lid freezer camping bag
435,H,Container lid,10 - 50,1,Entire,
436,H,Container lid,10 - 50,1,Entire,Lid box (or car part)
437,H,Container lid,10 - 50,1,Fragmented,
438,H,Container lid,10 - 50,1,Fragmented,
439,H,Container lid,10 - 50,1,Fragmented,
440,H,Container lid,10 - 50,1,Fragmented,
441,H,Container lid,10 - 50,1,Fragmented,
442,H,Container lid,10 - 50,2,Fragmented,
443,H,Container lid,10 - 50,1,Fragmented,
444,H,Container Lid,10 - 50,1,Entire,Bin cover
445,H,Container lid,5 - 10,1,Entire,
446,H,Container lid,5 - 10,1,Entire,
447,H,Container lid,5 - 10,1,Entire,
448,H,Container lid,5 - 10,4,Entire,
449,H,Container lid,5 - 10,2,Entire,
450,H,Container lid,5 - 10,1,Entire,
451,H,Container lid,5 - 10,2,Entire,
452,H,Container lid,5 - 10,1,Entire,
453,H,Container lid,5 - 10,1,Entire,
454,H,Container lid,5 - 10,2,Entire,
455,H,Container lid,5 - 10,1,Entire,
456,H,Container lid,5 - 10,1,Entire,
457,H,Container lid,5 - 10,1,Fragmented,
458,H,Container lid,5 - 10,4,Fragmented,
459,H,Container lid,5 - 10,1,Fragmented,
460,H,Container lid,5 - 10,1,Fragmented,
461,H,Container lid,5 - 10,1,Fragmented,
462,H,Container lid,5 - 10,1,Fragmented,
463,H,Container lid,5 - 10,1,Fragmented,
464,H,Container lid,5 - 10,2,Fragmented,
465,H,Container lid,5 - 10,2,Fragmented,
466,H,Container lid,5 - 10,1,Fragmented,
467,H,Container lid,5 - 10,1,Fragmented,
468,H,Container lid,5 - 10,1,Fragmented,
469,H,Container lid,5 - 10,2,Fragmented,
470,H,Container lid,5 - 10,1,Fragmented,
471,H,Container lid,5 - 10,2,Fragmented,
472,H,Container lid,5 - 10,2,Fragmented,
473,H,Container lid,5 - 10,2,Fragmented,
474,H,Container lid,5 - 10,3,Fragmented,
475,H,Container lid,5 - 10,6,Fragmented,
476,H,Container lid,5 - 10,2,Fragmented,
477,H,Container lid,5 - 10,2,Fragmented,1 Lid salt/pepper
478,H,Container lid,5 - 10,1,Fragmented,Lid shower gel
479,H,Container lid,5 - 10,1,Fragmented,
480,H,Container lid,5 - 10,3,Fragmented,
481,H,Container lid,5 - 10,1,Fragmented,
482,H,Container lid,5 - 10,1,Fragmented,
483,H,Container lid,5 - 10,1,Fragmented,
484,H,Container lid,5 - 10,1,Fragmented,
485,H,Container lid,5 - 10,1,Fragmented,
486,H,Container lid,1.5 - 5,3,Entire,
487,H,Container lid,1.5 - 5,4,Entire,
488,H,Container lid,1.5 - 5,1,Entire,
489,H,Container lid,1.5 - 5,2,Entire,
490,H,Container lid,1.5 - 5,2,Fragmented,
491,H,Container lid,1.5 - 5,1,Fragmented,
492,H,Container lid,1.5 - 5,2,Fragmented,
493,H,Container lid,1.5 - 5,1,Fragmented,
494,H,Container lid,1.5 - 5,2,Fragmented,
495,H,Container lid,1.5 - 5,1,Fragmented,
496,H,Container lid,1.5 - 5,1,Fragmented,
497,H,Container lid,1.5 - 5,1,Fragmented,
498,H,Container lid,1.5 - 5,1,Fragmented,
499,H,Container lid,1.5 - 5,1,Fragmented,
500,H,Container lid,1.5 - 5,1,Fragmented,
501,H,Container lid,1.5 - 5,2,Fragmented,
502,H,Container lid,1.5 - 5,1,Fragmented,
503,H,Container lid,1.5 - 5,1,Fragmented,
504,H,Container lid,1.5 - 5,1,Fragmented,
505,H,Container lid,1.5 - 5,3,Fragmented,
506,H,Container lid,1.5 - 5,1,Fragmented,
507,H,Container lid,0.5 - 1.5,1,Entire,
508,H,Container lid,0.5 - 1.5,1,Entire,
509,H,Container lid,0.5 - 1.5,1,Entire,
510,H,Container lid,0.5 - 1.5,1,Entire,
511,H,Container lid,0.5 - 1.5,2,Entire,
512,H,Container lid,0.5 - 1.5,1,Entire,
